Patient_ID,Data_Quality_Score,Patient_Status,Risk_Level,Record_Count,Source_Count,Study_Count,Issue_Count
FARESCD_11,16.9,Critical,High,11,4,4,0
PRLOC,16.9,Critical,High,24,8,7,0
MHTOXGR,16.9,Critical,High,41,7,7,0
MHTERM,16.9,Critical,High,221,18,18,0
FARESCD,16.9,Critical,High,13,3,3,0
IECAT,16.9,Critical,High,11,5,5,0
DSDECOD,16.9,Critical,High,210,16,16,0
112,16.9,Critical,High,5,5,3,0
GLUCSF_LBVALUE,16.8,Critical,High,4,2,2,0
CMONGO,16.8,Critical,High,14,5,5,0
DECSYDC,16.8,Critical,High,36,6,6,0
CMDOSFRQ,16.8,Critical,High,27,7,7,0
ACTMENDC,16.8,Critical,High,13,1,1,0
FARESDAT,16.8,Critical,High,9,4,4,0
FARESC_2,16.8,Critical,High,2,2,2,0
QSTSTLG,16.8,Critical,High,2,2,2,0
HCT_LBVALUE,16.8,Critical,High,4,4,4,0
Site 800,16.8,Critical,High,86,5,2,0
VEREASOC,16.8,Critical,High,8,4,4,0
DVSHDESC,16.8,Critical,High,64,3,3,0
PREADMRU,16.8,Critical,High,2,2,2,0
MHCONTRT,16.7,Critical,High,5,1,1,0
Site 1664,16.7,Critical,High,55,3,1,0
AEENDPY,16.7,Critical,High,12,1,1,0
CEREFID,16.7,Critical,High,30,3,2,0
CETERM,16.7,Critical,High,6,1,1,0
Site 57,16.7,Critical,High,64,4,2,0
Site 270,16.7,Critical,High,17,4,1,0
CMDRG_AUTO04,16.7,Critical,High,5,3,3,0
AAMPREL,16.7,Critical,High,8,2,2,0
TULOC,16.7,Critical,High,10,5,5,0
AETERMG,16.7,Critical,High,15,1,1,0
ZJLSTYP,16.7,Critical,High,3,3,3,0
PRLOCOTH,16.7,Critical,High,3,2,2,0
SSTAT,16.7,Critical,High,390,20,20,0
FARSFLT_2,16.7,Critical,High,17,5,5,0
INV_AD1,16.7,Critical,High,3,2,2,0
FARESCD_10,16.7,Critical,High,85,5,5,0
ECOCCUR,16.7,Critical,High,29,4,4,0
TUMSDIS,16.6,Critical,High,8,1,1,0
AEACN_5,16.6,Critical,High,7,1,1,0
ECREASOC,16.6,Critical,High,20,4,4,0
ZJCAT,16.6,Critical,High,15,3,3,0
SSRESDAT,16.6,Critical,High,10,3,2,0
PRTORGVN,16.6,Critical,High,139,10,10,0
AESI,16.6,Critical,High,7,2,2,0
PRSTDAT,16.6,Critical,High,109,17,13,0
Site 1653,16.6,Critical,High,16,3,1,0
Site 152,16.6,Critical,High,4,4,1,0
CMTRT,16.5,Critical,High,422,20,18,0
PRTRT,16.5,Critical,High,90,11,11,0
CMYN,16.5,Critical,High,227,16,16,0
ASSNAME,16.5,Critical,High,25,10,10,0
FALOC_2,16.5,Critical,High,5,2,2,0
FALOC_99,16.5,Critical,High,11,2,2,0
MID,16.5,Critical,High,50,8,8,0
DSCOVREL,16.5,Critical,High,5,1,1,0
ZJDAT,16.5,Critical,High,14,6,6,0
PRSTAT,16.5,Critical,High,7,3,3,0
SAE_ENDT,16.5,Critical,High,58,11,10,0
Site 779,16.5,Critical,High,6,4,1,0
AEACN_7,16.5,Critical,High,18,1,1,0
PRYN,16.4,Critical,High,61,11,11,0
Site 2124,16.4,Critical,High,32,5,2,0
Site 981,16.4,Critical,High,107,6,2,0
DRUG_ROUTE,16.4,Critical,High,25,2,2,0
Site 2021,16.4,Critical,High,114,5,2,0
PRTPT,16.3,Critical,High,4,2,2,0
Unknown_STUDY 19_CPID_Input Files - Anonymization - Study 19_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
DRUG_1_REDUDT,16.3,Critical,High,1,1,1,0
Unknown_STUDY 15_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
DRUG_1_INCRD,16.3,Critical,High,2,1,1,0
DRUG_ACN,16.3,Critical,High,115,6,6,0
DRUG_DECHLNG,16.3,Critical,High,4,3,3,0
USPGRST_LBVALUE,16.3,Critical,High,2,1,1,0
Unknown_STUDY 20__CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
DRUG_1_ENDT,16.3,Critical,High,1,1,1,0
DRUG_ENDT,16.3,Critical,High,1,1,1,0
Site 93,16.3,Critical,High,7,4,1,0
ABHCVIGG_LBVALUE,16.3,Critical,High,1,1,1,0
Unknown_STUDY 21_CPID_Input Files - Anonymization - CPID_EDC Metrics_URSV2.0 (1) 1_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
Unknown_Study 11_CPID_Input Files - Anonymization - Study 11_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
ZJLSDM,16.3,Critical,High,1,1,1,0
Unknown_Study 10_CPID_Input Files - Anonymization - Study 10_CPID_EDC_Metrics_URSV2.0_14-Nov-2025_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
DSREAS2,16.3,Critical,High,1,1,1,0
Unknown_STUDY 2_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
Unknown_STUDY 24_CPID_Input Files - Anonymization - Study 24_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
DSCAT,16.3,Critical,High,1,1,1,0
DRUG_TRT,16.3,Critical,High,1,1,1,0
Unknown_STUDY 23_CPID_Input Files - Anonymization - Study 23 - CPID_EDC Metrics_URSV2.0_13 Nov 25_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
DRUG_ROUTE_1,16.3,Critical,High,3,1,1,0
AERELS4,16.3,Critical,High,1,1,1,0
Unknown_STUDY 22_CPID_Input Files - Anonymization - CPID_EDC Metrics_URSV2.0 (2)_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
DRUG_LSDT,16.3,Critical,High,1,1,1,0
AESLIFE,16.3,Critical,High,4,3,3,0
DRUG_FRQ,16.3,Critical,High,2,2,2,0
Site 291,16.3,Critical,High,27,4,1,0
AGDOSE,16.3,Critical,High,2,1,1,0
UROBILST_LBVALUE,16.3,Critical,High,2,1,1,0
ZLDAT,16.3,Critical,High,1,1,1,0
B1METOTH,16.3,Critical,High,1,1,1,0
DURSFLT_2,16.3,Critical,High,1,1,1,0
ZJSTTIM,16.3,Critical,High,1,1,1,0
B1PERF,16.3,Critical,High,2,2,2,0
B1RESCD,16.3,Critical,High,1,1,1,0
B1RSFLT,16.3,Critical,High,1,1,1,0
B1SPEC,16.3,Critical,High,2,1,1,0
Site 2090,16.3,Critical,High,37,3,1,0
CMINDC1,16.3,Critical,High,1,1,1,0
ACCNNDC,16.3,Critical,High,3,1,1,0
Site 1163,16.3,Critical,High,123,9,4,0
TSH_LBVALUE,16.3,Critical,High,1,1,1,0
CMENDAT,16.3,Critical,High,194,19,15,0
AEREL18F,16.3,Critical,High,2,1,1,0
B1SRC,16.3,Critical,High,1,1,1,0
CHGDAT,16.3,Critical,High,5,1,1,0
AEREFID,16.3,Critical,High,2,1,1,0
Site 2122,16.3,Critical,High,105,5,2,0
AEACNSB,16.3,Critical,High,2,1,1,0
CMYN_2,16.3,Critical,High,1,1,1,0
CONCAT,16.3,Critical,High,1,1,1,0
B1METHOD,16.3,Critical,High,2,1,1,0
AEYN,16.3,Critical,High,199,16,16,0
DEATH_AUTO,16.3,Critical,High,4,2,2,0
URBC_LBVALUE,16.3,Critical,High,2,1,1,0
Site 2127,16.3,Critical,High,17,4,2,0
AGSTTIM,16.3,Critical,High,1,1,1,0
DDRESC,16.3,Critical,High,3,2,2,0
CVRESN,16.3,Critical,High,3,1,1,0
UPHST_LBVALUE,16.3,Critical,High,2,1,1,0
UGLUCST_LBVALUE,16.3,Critical,High,1,1,1,0
ASNAM,16.3,Critical,High,2,1,1,0
ASNAMOTH,16.3,Critical,High,1,1,1,0
CSMOUTH,16.3,Critical,High,1,1,1,0
UCOLOR_LBVALUE,16.3,Critical,High,2,1,1,0
UCASTQ_LBVALUE,16.3,Critical,High,3,1,1,0
UBLOST_LBVALUE,16.3,Critical,High,1,1,1,0
B1DAT,16.3,Critical,High,1,1,1,0
CREATCLR_LBVALUE,16.3,Critical,High,1,1,1,0
DURSFLT_1,16.3,Critical,High,2,2,2,0
DUDAT,16.3,Critical,High,1,1,1,0
Unknown_Study 13_CPID_Input Files - Anonymization - Study 13_CPID_EDC_Metrics_URSV2.0_14NOV2025_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
SARM,16.3,Critical,High,3,1,1,0
MHSTDAT,16.3,Critical,High,114,21,17,0
REASN1,16.3,Critical,High,3,1,1,0
HCVRNAPT_LBVALUE,16.3,Critical,High,1,1,1,0
HBSAGC_LBVALUE,16.3,Critical,High,2,1,1,0
SMPTP,16.3,Critical,High,1,1,1,0
MLSTTIM,16.3,Critical,High,4,1,1,0
MLYN,16.3,Critical,High,3,1,1,0
PCENTIM,16.3,Critical,High,1,1,1,0
FAYN,16.3,Critical,High,1,1,1,0
SUCAT,16.3,Critical,High,1,1,1,0
Site 1751,16.3,Critical,High,17,4,2,0
SUNCF_1,16.3,Critical,High,1,1,1,0
SUTRT_1,16.3,Critical,High,1,1,1,0
INV_RTNL,16.3,Critical,High,187,13,13,0
FARESDAT_8,16.3,Critical,High,1,1,1,0
QSRESCD_3,16.3,Critical,High,1,1,1,0
FARESCD_30,16.3,Critical,High,1,1,1,0
SCTMRI,16.3,Critical,High,3,1,1,0
SAE_TRT_3,16.3,Critical,High,1,1,1,0
FARESCD_17_7,16.3,Critical,High,1,1,1,0
SAE_TRT_1,16.3,Critical,High,6,1,1,0
INV_RTNL1,16.3,Critical,High,1,1,1,0
IFCWDDAT,16.3,Critical,High,1,1,1,0
IFCCAT,16.3,Critical,High,4,1,1,0
INV_RTNL3,16.3,Critical,High,1,1,1,0
SAE_CAU,16.3,Critical,High,1,1,1,0
LABTP,16.3,Critical,High,4,1,1,0
SAE_DRG2,16.3,Critical,High,1,1,1,0
SAE_DRG4,16.3,Critical,High,1,1,1,0
SAE_HOSP2,16.3,Critical,High,1,1,1,0
MEASGAFF,16.3,Critical,High,1,1,1,0
RGMNUM,16.3,Critical,High,3,3,3,0
MEDSUB,16.3,Critical,High,1,1,1,0
MEDSUB29,16.3,Critical,High,1,1,1,0
RESTRT,16.3,Critical,High,1,1,1,0
SAE_STDT,16.3,Critical,High,40,6,6,0
MEDSUB35,16.3,Critical,High,1,1,1,0
MHLAT,16.3,Critical,High,1,1,1,0
FARESCD_29,16.3,Critical,High,1,1,1,0
ZWDAT,16.3,Critical,High,1,1,1,0
ECDOSFRM,16.3,Critical,High,2,2,2,0
PRYN_1,16.3,Critical,High,1,1,1,0
Unknown_Study 5_CPID_Input Files - Anonymization - Study 5_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
EGTIM,16.3,Critical,High,3,1,1,0
Unknown_Study 4_CPID_Input Files - Anonymization - CPID_EDC Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
ECDOSPU,16.3,Critical,High,1,1,1,0
Unknown_Study 25_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
VOLSAMS,16.3,Critical,High,3,1,1,0
Unknown_Study 1_CPID_Input Files - Anonymization - Study 1_CPID_EDC_Metrics_URSV2.0_14 NOV 2025_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
FALOC_13,16.3,Critical,High,1,1,1,0
DVRLCYN,16.3,Critical,High,1,1,1,0
Unknown_Study 16_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0 (3)_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
ECDOSCH,16.3,Critical,High,1,1,1,0
PSTADDAT,16.3,Critical,High,1,1,1,0
ECDIR,16.3,Critical,High,3,1,1,0
DVRLDPYN,16.3,Critical,High,1,1,1,0
Unknown_Study 17_CPID_Input Files - Anonymization - CPID_EDC Metrics_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
PSTADMRU,16.3,Critical,High,2,1,1,0
QSRESCD_20,16.3,Critical,High,1,1,1,0
Unknown_Study 7_CPID_Input Files - Anonymization - Study 7_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
FARESCD_16,16.3,Critical,High,1,1,1,0
VEPRESP,16.3,Critical,High,1,1,1,0
Unknown_Study 9_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0 (1)_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
DVCRDAT,16.3,Critical,High,7,2,2,0
Unknown_Study 8_CPID_Input Files - Anonymization - Study 8_CPID_EDC_Metrics_URSV2.0 _13Nov2025_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
FAPRYN,16.3,Critical,High,2,1,1,0
FAORRESU_3,16.3,Critical,High,1,1,1,0
Unknown_Study 18_CPID_Input Files - Anonymization - Study 18_CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
Unknown_Study 14_CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
FALOC_3,16.3,Critical,High,1,1,1,0
Unknown_Study 6 _CPID_Input Files - Anonymization - CPID_EDC_Metrics_URSV2.0_updated.xlsx - Subject Level Metrics_2,16.3,Critical,High,1,1,1,0
FALOC_16,16.3,Critical,High,2,1,1,0
DVMRDAT,16.3,Critical,High,1,1,1,0
ECDOSDIS,16.2,Critical,High,47,5,5,0
Site 677,16.2,Critical,High,8,4,1,0
AESDTH,16.2,Critical,High,9,3,3,0
CMSTDAT,16.2,Critical,High,236,22,16,0
Site 275,16.2,Critical,High,6,5,2,0
Site 2067,16.2,Critical,High,17,3,1,0
Site 1057,16.1,Critical,High,78,8,4,0
Site 2180,16.1,Critical,High,22,5,2,0
SAE_OUT,16.1,Critical,High,4,3,3,0
Site 2107,16.1,Critical,High,13,3,1,0
Site 1167,16.1,Critical,High,47,4,2,0
Site 2099,16.1,Critical,High,30,3,1,0
Site 2094,16.1,Critical,High,301,7,2,0
CMLDOS,16.1,Critical,High,20,4,3,0
Site 2000,16.1,Critical,High,13,3,1,0
NUMCY,16.1,Critical,High,23,6,5,0
Site 299,16.1,Critical,High,68,6,2,0
AESCONG,16.0,Critical,High,3,3,3,0
Site 262,16.0,Critical,High,46,5,2,0
Site 26,16.0,Critical,High,26,4,2,0
Site 1235,16.0,Critical,High,100,5,2,0
Site 294,16.0,Critical,High,27,7,2,0
AESDISAB,16.0,Critical,High,3,3,3,0
HOSTDAT,16.0,Critical,High,8,2,1,0
Site 1686,16.0,Critical,High,32,4,1,0
TCASEID,16.0,Critical,High,3,1,1,0
148,16.0,Critical,High,3,3,2,0
ECCAT,16.0,Critical,High,3,2,2,0
FXCMB,16.0,Critical,High,3,1,1,0
HOYN,16.0,Critical,High,3,2,2,0
Site 1922,16.0,Critical,High,74,4,2,0
AESMIE,15.9,Critical,High,2,2,2,0
Site 1649,15.9,Critical,High,59,4,2,0
RACECWT,15.9,Critical,High,2,2,2,0
AERELDEV,15.9,Critical,High,2,1,1,0
GNDRV1,15.9,Critical,High,12,4,3,0
ZJLSID,15.9,Critical,High,2,2,2,0
SRITE,15.9,Critical,High,2,1,1,0
Site 1913,15.9,Critical,High,7,4,1,0
INVDT,15.9,Critical,High,81,8,8,0
SAE_DRG1,15.9,Critical,High,2,2,2,0
CMINDC,15.8,Critical,High,21,4,3,0
Site 1804,15.8,Critical,High,27,3,1,0
SPVLBDL,15.8,Critical,High,20,2,1,0
RDMTIM,15.8,Critical,High,9,1,1,0
Site 295,15.8,Critical,High,87,8,3,0
Site 2092,15.8,Critical,High,18,3,1,0
Site 297,15.8,Critical,High,268,9,3,0
Site 1350,15.7,Critical,High,485,9,3,0
TSTYN,15.7,Critical,High,106,8,8,0
Site 1654,15.7,Critical,High,59,3,1,0
Site 1284,15.7,Critical,High,23,6,2,0
Site 305,15.7,Critical,High,24,4,1,0
Site 1840,15.7,Critical,High,27,5,2,0
NULLIFY,15.7,Critical,High,31,4,4,0
HOENDAT,15.7,Critical,High,7,3,2,0
Site 1214,15.6,Critical,High,37,4,2,0
Site 2160,15.6,Critical,High,358,6,2,0
Site 2097,15.6,Critical,High,152,7,2,0
Site 2084,15.6,Critical,High,23,3,1,0
Site 879,15.6,Critical,High,141,13,5,0
AEPNDYN,15.6,Critical,High,8,1,1,0
TEST_RSLT,15.6,Critical,High,15,5,5,0
Site 1668,15.6,Critical,High,88,3,1,0
Site 266,15.6,Critical,High,42,5,2,0
Site 1651,15.6,Critical,High,14,3,1,0
Site 2131,15.6,Critical,High,42,3,1,0
Site 296,15.5,Critical,High,22,4,1,0
Site 276,15.5,Critical,High,11,4,1,0
Site 1396,15.5,Critical,High,84,8,3,0
Site 273,15.5,Critical,High,24,5,2,0
Site 1736,15.5,Critical,High,75,7,2,0
Site 2042,15.5,Critical,High,554,6,2,0
Site 1553,15.5,Critical,High,178,7,2,0
Site 1811,15.5,Critical,High,83,5,2,0
Site 278,15.5,Critical,High,55,4,1,0
Site 609,15.5,Critical,High,22,5,2,0
Site 787,15.5,Critical,High,76,4,2,0
Site 767,15.5,Critical,High,21,4,2,0
Site 1130,15.4,Critical,High,20,4,1,0
Site 600,15.4,Critical,High,11,4,1,0
SMPNO,15.4,Critical,High,1,1,1,0
Site 2008,15.4,Critical,High,242,11,3,0
ZJTIM,15.4,Critical,High,1,1,1,0
Site 271,15.4,Critical,High,67,5,2,0
Site 607,15.4,Critical,High,33,4,1,0
RADACTM,15.4,Critical,High,7,1,1,0
SAE_OTHER,15.4,Critical,High,969,8,8,0
CMROUTE_1,15.4,Critical,High,1,1,1,0
Site 2081,15.4,Critical,High,117,5,2,0
AEACNDEV,15.4,Critical,High,1,1,1,0
HOTERM,15.4,Critical,High,2,1,1,0
TURESCD1,15.4,Critical,High,1,1,1,0
Site 2070,15.4,Critical,High,14,5,2,0
Site 613,15.4,Critical,High,11,4,1,0
AMPREL,15.4,Critical,High,1,1,1,0
RACECBL,15.4,Critical,High,1,1,1,0
DUYN,15.4,Critical,High,1,1,1,0
PRMTD,15.4,Critical,High,1,1,1,0
Site 2133,15.4,Critical,High,50,5,2,0
Site 432,15.4,Critical,High,33,5,2,0
ZAYN,15.4,Critical,High,2,2,2,0
PRENDAT,15.4,Critical,High,26,10,7,0
INV_RTNL9,15.4,Critical,High,1,1,1,0
RPTR_FSTNM,15.4,Critical,High,1,1,1,0
RNINTHY,15.4,Critical,High,1,1,1,0
Site 339,15.4,Critical,High,147,12,4,0
Site 1670,15.3,Critical,High,80,5,2,0
Site 1650,15.3,Critical,High,103,3,1,0
Site 2187,15.3,Critical,High,93,7,2,0
AEENDAT,15.3,Critical,High,186,17,14,0
Site 2114,15.3,Critical,High,11,4,2,0
Site 2113,15.3,Critical,High,25,4,1,0
Site 2103,15.3,Critical,High,44,3,1,0
Site 2073,15.3,Critical,High,26,5,2,0
Site 1749,15.3,Critical,High,173,5,2,0
Site 340,15.3,Critical,High,129,7,2,0
Site 1067,15.3,Critical,High,106,9,2,0
Site 1927,15.3,Critical,High,25,4,2,0
Site 1934,15.3,Critical,High,339,5,2,0
Site 2159,15.3,Critical,High,22,4,1,0
Site 1759,15.3,Critical,High,139,5,2,0
Site 2040,15.3,Critical,High,64,4,2,0
Site 2009,15.3,Critical,High,66,5,2,0
Site 1224,15.3,Critical,High,51,5,2,0
Site 2024,15.3,Critical,High,65,7,2,0
Site 2004,15.2,Critical,High,30,3,1,0
Site 1980,15.2,Critical,High,142,6,2,0
Site 1760,15.2,Critical,High,45,3,1,0
Site 1275,15.2,Critical,High,21,4,2,0
Site 1797,15.2,Critical,High,145,4,2,0
Site 2140,15.2,Critical,High,20,3,1,0
Site 1802,15.2,Critical,High,30,3,1,0
Site 1124,15.2,Critical,High,84,4,2,0
Site 1812,15.2,Critical,High,12,4,2,0
Site 1733,15.2,Critical,High,11,4,2,0
Site 2150,15.2,Critical,High,787,7,2,0
Site 1794,15.2,Critical,High,10,3,1,0
Site 1871,15.2,Critical,High,85,4,2,0
Site 1165,15.2,Critical,High,20,4,2,0
Site 1563,15.2,Critical,High,56,5,2,0
Site 1188,15.2,Critical,High,152,10,4,0
Site 1556,15.2,Critical,High,124,4,2,0
Site 1182,15.2,Critical,High,207,10,4,0
ZATRT,15.2,Critical,High,6,1,1,0
Site 1153,15.2,Critical,High,142,9,3,0
Site 2253,15.2,Critical,High,31,4,1,0
Site 2062,15.1,Critical,High,105,6,2,0
SUENDAT,15.1,Critical,High,3,2,1,0
Site 2077,15.1,Critical,High,26,4,2,0
Site 2117,15.1,Critical,High,153,7,2,0
Site 1742,15.1,Critical,High,94,5,2,0
DRUG_DOSE,15.1,Critical,High,16,7,4,0
Site 1073,15.1,Critical,High,95,10,4,0
Site 2089,15.1,Critical,High,64,5,2,0
Site 1660,15.1,Critical,High,56,3,1,0
Site 1192,15.1,Critical,High,51,6,2,0
Site 1912,15.1,Critical,High,44,4,1,0
Site 1187,15.1,Critical,High,33,9,2,0
Site 604,15.1,Critical,High,23,4,1,0
Site 310,15.1,Critical,High,26,5,2,0
Site 2029,15.1,Critical,High,284,8,2,0
Site 2175,15.1,Critical,High,44,6,2,0
Site 293,15.1,Critical,High,142,11,4,0
Site 1666,15.1,Critical,High,154,5,2,0
Site 1120,15.0,Critical,High,86,8,3,0
Site 2086,15.0,Critical,High,68,6,2,0
Site 1985,15.0,Critical,High,79,4,2,0
Site 531,15.0,Critical,High,5,3,1,0
Site 1164,15.0,Critical,High,548,10,4,0
Site 557,15.0,Critical,High,171,7,2,0
Site 1084,15.0,Critical,High,233,10,4,0
Site 290,15.0,Critical,High,78,6,2,0
Site 2043,15.0,Critical,High,230,10,4,0
Site 1692,15.0,Critical,High,315,6,2,0
Site 1087,15.0,Critical,High,60,6,2,0
Site 1732,15.0,Critical,High,81,5,2,0
Site 1339,15.0,Critical,High,432,9,4,0
Site 328,15.0,Critical,High,143,10,4,0
Site 2121,15.0,Critical,High,53,4,2,0
DTHDAT,15.0,Critical,High,16,2,1,0
Site 1655,15.0,Critical,High,72,3,1,0
Site 2185,15.0,Critical,High,90,5,2,0
Site 2143,15.0,Critical,High,147,7,2,0
Site 2129,15.0,Critical,High,31,4,2,0
Site 338,15.0,Critical,High,195,8,3,0
Site 1907,15.0,Critical,High,110,6,2,0
Site 794,15.0,Critical,High,218,8,2,0
Site 248,15.0,Critical,High,16,5,2,0
Site 1257,14.9,Critical,High,26,3,1,0
Site 2139,14.9,Critical,High,86,4,1,0
Site 1853,14.9,Critical,High,116,4,2,0
Site 1403,14.9,Critical,High,138,8,4,0
Site 1690,14.9,Critical,High,44,4,2,0
Site 1099,14.9,Critical,High,218,10,4,0
Site 1121,14.9,Critical,High,115,8,3,0
Site 617,14.9,Critical,High,13,5,2,0
Site 2145,14.9,Critical,High,29,5,2,0
Site 994,14.9,Critical,High,51,5,2,0
Site 2115,14.9,Critical,High,26,3,1,0
Site 2038,14.9,Critical,High,165,6,2,0
Site 2118,14.9,Critical,High,32,4,2,0
Site 1288,14.9,Critical,High,17,4,2,0
Site 100,14.9,Critical,High,181,5,2,0
Site 1935,14.9,Critical,High,433,6,2,0
Site 1342,14.8,Critical,High,672,10,3,0
Site 1344,14.8,Critical,High,44,4,1,0
Site 2015,14.8,Critical,High,337,11,4,0
Site 58,14.8,Critical,High,186,5,2,0
Site 302,14.8,Critical,High,199,4,1,0
Site 1914,14.8,Critical,High,1166,9,2,0
Site 1976,14.8,Critical,High,233,4,1,0
Site 578,14.8,Critical,High,45,9,4,0
Site 336,14.8,Critical,High,194,9,4,0
Site 1988,14.8,Critical,High,92,4,2,0
Site 1936,14.8,Critical,High,62,5,2,0
Site 1943,14.8,Critical,High,44,4,1,0
Site 1971,14.8,Critical,High,92,5,2,0
Site 2158,14.8,Critical,High,66,4,1,0
Site 760,14.8,Critical,High,41,5,2,0
Site 1656,14.8,Critical,High,60,4,1,0
Site 1157,14.8,Critical,High,189,8,3,0
Site 2116,14.8,Critical,High,203,6,2,0
Site 2085,14.8,Critical,High,71,4,2,0
Site 1179,14.8,Critical,High,208,10,4,0
Site 287,14.8,Critical,High,101,4,1,0
Site 1128,14.8,Critical,High,210,10,4,0
Site 1107,14.8,Critical,High,77,6,2,0
Site 1678,14.8,Critical,High,55,7,3,0
Site 1091,14.8,Critical,High,128,6,2,0
Site 1277,14.8,Critical,High,98,6,2,0
Site 952,14.8,Critical,High,239,18,6,0
Site 2191,14.8,Critical,High,18,4,1,0
Site 535,14.7,Critical,High,494,14,5,0
Site 1199,14.7,Critical,High,59,5,2,0
Site 1958,14.7,Critical,High,97,8,2,0
Site 1652,14.7,Critical,High,106,5,2,0
Site 2110,14.7,Critical,High,27,3,1,0
Site 263,14.7,Critical,High,112,5,2,0
Site 1929,14.7,Critical,High,55,5,2,0
Site 331,14.7,Critical,High,205,10,4,0
Site 1282,14.7,Critical,High,64,6,2,0
Site 1289,14.7,Critical,High,38,5,2,0
Site 1034,14.7,Critical,High,279,11,4,0
Site 2135,14.7,Critical,High,111,4,2,0
Site 1662,14.7,Critical,High,46,4,1,0
Site 1800,14.7,Critical,High,65,6,2,0
Site 1720,14.7,Critical,High,55,4,2,0
Site 1705,14.7,Critical,High,75,6,2,0
Site 1123,14.7,Critical,High,231,11,4,0
Site 2030,14.7,Critical,High,318,10,3,0
Site 2033,14.7,Critical,High,99,5,2,0
Site 2036,14.7,Critical,High,134,8,3,0
Site 2154,14.7,Critical,High,31,7,3,0
Site 1485,14.7,Critical,High,148,4,2,0
Site 321,14.7,Critical,High,152,9,3,0
Site 1752,14.7,Critical,High,227,5,2,0
Site 1077,14.7,Critical,High,170,4,2,0
Site 1090,14.7,Critical,High,218,12,4,0
Site 1645,14.7,Critical,High,79,9,3,0
Site 1667,14.7,Critical,High,181,5,2,0
Site 1787,14.7,Critical,High,70,6,2,0
Site 32,14.7,Critical,High,118,16,6,0
Site 1702,14.6,Critical,High,129,5,2,0
Site 1843,14.6,Critical,High,84,4,2,0
Site 1803,14.6,Critical,High,96,3,1,0
Site 1693,14.6,Critical,High,545,6,2,0
Site 1864,14.6,Critical,High,42,7,2,0
Site 1644,14.6,Critical,High,133,3,1,0
Site 1753,14.6,Critical,High,300,6,2,0
Site 1737,14.6,Critical,High,66,9,3,0
Site 1826,14.6,Critical,High,74,6,2,0
Site 1658,14.6,Critical,High,39,3,1,0
Site 1685,14.6,Critical,High,144,5,2,0
Site 1663,14.6,Critical,High,78,4,2,0
FARESN_5,14.6,Critical,High,9,2,1,0
Site 1333,14.6,Critical,High,177,8,3,0
Site 1511,14.6,Critical,High,138,5,2,0
Site 2014,14.6,Critical,High,43,9,3,0
Site 1979,14.6,Critical,High,39,3,1,0
Site 1987,14.6,Critical,High,182,5,2,0
Site 1989,14.6,Critical,High,74,4,2,0
Site 1991,14.6,Critical,High,115,6,2,0
Site 2149,14.6,Critical,High,55,4,1,0
Site 2130,14.6,Critical,High,120,5,2,0
Site 953,14.6,Critical,High,158,11,4,0
Site 2026,14.6,Critical,High,391,5,2,0
Site 1977,14.6,Critical,High,125,5,2,0
Site 2028,14.6,Critical,High,40,5,2,0
